"parent","child"
"120","19"
"122","106"
"121","106"
"122","107"
"19","99"
"19","101"
"19","92"
"19","94"
"19","25"
"19","100"
"19","27"
"120","88"
"121","88"
"19","26"
"19","29"
"19","30"
"30","67"
"19","31"
"19","28"
"19","98"
"19","70"
"120","61"
"61","60"
"61","22"
"61","63"
"61","62"
"61","21"
"123","21"
"124","40"
"124","44"
"125","44"
"126","65"
"126","59"
"126","112"
"125","38"
"124","43"
"125","43"
"120","37"
"125","37"
"128","109"
"34","109"
"34","53"
"34","84"
"84","56"
"84","48"
"84","46"
"84","41"
"128","41"
"84","42"
"128","130"
"129","81"
"130","81"
"84","91"
"129","91"
"121","91"
"84","105"
"128","105"
"84","110"
"110","36"
"131","72"
"84","72"
"121","72"
"84","80"
"109","80"
"84","49"
"34","122"
"109","122"
"34","52"
"34","114"
"34","51"
"121","90"
"34","90"
"34","79"
"128","132"
"132","83"
"132","108"
"132","75"
"122","50"
"132","50"
"128","74"
"127","47"
"128","47"
"127","35"
"125","35"
"128","104"
"125","104"
"127","89"
"128","89"
"128","87"
"129","82"
"121","86"
"128","86"
"133","58"
"133","55"
"125","55"
"125","45"
"84","45"
"123","76"
"123","64"
"133","68"
"32","68"
"133","119"
"32","119"
"32","118"
"128","77"
"123","134"
"34","136"
"133","136"
"79","137"
"34","138"
"34","139"
"139","57"
"139","140"
"34","141"
"34","142"
"34","143"
"126","144"
"139","144"
"139","145"
"139","146"
"111","146"
"110","147"
"139","148"
"139","149"
"150","71"
"150","116"
"150","96"
"150","151"
"128","73"
"134","73"
"126","153"
"84","153"
"120","154"
"126","154"
"126","155"
"125","157"
"129","158"
"34","159"
"84","160"
"139","161"
"34","162"
"120","163"
"84","163"
"157","163"
"34","167"
"34","168"
"132","169"
"74","170"
"177","176"
"126","180"
"181","180"
"131","184"
"124","184"
"124","185"
"34","115"
"186","115"
"32","192"
"125","179"
"191","179"
"191","195"
"191","124"
"195","196"
"198","111"
"198","183"
"198","126"
"198","197"
"19","150"
"192","201"
"192","202"
"204","189"
"178","207"
"61","203"
"188","203"
"133","206"
"178","206"
"123","208"
"61","209"
"128","211"
"26","212"
"26","213"
"61","210"
"213","210"
"30","214"
"30","215"
"30","216"
"26","216"
"26","217"
"26","218"
"26","219"
"219","220"
"26","221"
"131","221"
"103","222"
"19","69"
"19","223"
"19","224"
"225","224"
"99","226"
"27","227"
"19","20"
"228","20"
"178","205"
"228","205"
"32","229"
"32","230"
"120","230"
"157","231"
"125","231"
"194","232"
"103","233"
"103","234"
"19","103"
"118","235"
"19","236"
"19","237"
"31","238"
"27","239"
"27","240"
"150","152"
"27","152"
"27","241"
"30","243"
"192","244"
"192","245"
"69","246"
"69","247"
"69","248"
"19","249"
"61","24"
"249","24"
"69","250"
"32","93"
"251","93"
"251","252"
"133","252"
"34","253"
"178","253"
"124","39"
"254","39"
"254","255"
"32","255"
"255","256"
"33","256"
"128","33"
"255","33"
"177","257"
"34","257"
"122","259"
"131","259"
"259","156"
"19","260"
"133","261"
"34","261"
"133","262"
"124","262"
"128","263"
"34","54"
"263","54"
"262","264"
"125","264"
"32","265"
"26","194"
"267","194"
"267","266"
"133","242"
"267","242"
