"id","name","type","description","img","iconx","icony"
"6","Kentucky Fried Chicken","22",,"0","0","0"
"7","Yum! Brands","21",,"0","1","0"
"10","Pizza Hut","24",,"0","3","0"
"11","Wendy's","22","Wendy's is a company that tweets epic clapbacks and uses slave labor. Also they make burgers or something.","0",NULL,NULL
"12","Arrowhead Water","20",,"0","6","0"
"13","Nestlé","19",,"0","7","0"
"14","Buitoni","25",,"0","8","0"
"20","PepsiCo","19","Bepsi.","0","9","0"
"21","Taco Bell","22",,"0","2","0"
"22","WingStreet","22",,"0","0","1"
"23","The Habit","22",,"0","4","0"
"24","Quaker Oats Company","19",,"0","1","1"
"25","Gatorade","221",,"0","2","1"
"26","Frito-Lay","239",,"0","3","1"
"27","Tropicana Products","217",,"0","4","1"
"28","Rice-A-Roni","28",,"0","5","1"
"29","Aunt Jemima","29",,"0","6","1"
"30","Bluebird Foods","27",,"0","7","1"
"31","Duyvis","27",,"0","8","1"
"32","Gamesa","152",,"0","9","1"
"33","Lebedyansky","26",,"0","0","2"
"34","Papa Sabritas","239",,"0","1","2"
"35","Sandora","217",,"0","2","2"
"36","Simba","27",,"0","3","2"
"37","The Smith's Snackfood Company","239",,"0","4","2"
"38","SodaStream International","219",,"0","5","2"
"39","Tasali Snack Foods","239",,"0","6","2"
"40","Wimm Bill Dann OJSC","30",,"0","7","2"
"41","Cracker Jack","227",,"0","8","2"
"42","Strauss Group","19",,"0","9","2"
"43","Sabra Dipping Company","31",,"0","0","3"
"44","Unilever","32",,"0","1","3"
"45","Lipton","212",,"0","2","3"
"46","Keurig Dr Pepper","26",,"0","3","3"
"47","7 Up","219",,"0","4","3"
"48","Mirinda","219",,"0","5","3"
"49","The Coca-Cola Company","26",,"0","6","3"
"50","Dasani","20",,"0","7","3"
"51","Nestea","212",,"0","8","3"
"52","Fanta","219",,"0","9","3"
"53","Energy Brands","26",,"0","0","4"
"54","vitaminwater","20",,"0","1","4"
"55","Smartwater","20",,"0","2","4"
"56","Minute Maid","217",,"0","3","4"
"57","Powerade","221",,"0","4","4"
"58","Fairlife","216",,"0","5","4"
"59","Simply Orange Juice Company","217",,"0","6","4"
"60","Honest Tea","212",,"0","7","4"
"61","Odwalla","217",,"0","8","4"
"62","Cards Against Humanity","33",,"0",NULL,NULL
"63","Amazon.com","34",,"0","5","0"
"64","Audible","35",,"0","9","4"
"65","Goodreads","36",,"0","1","5"
"66","Whole Foods Market","37",,"0","0","5"
"67","Fabric.com","38",,"0","2","5"
"68","Carter's","39",,"0","4","5"
"69","OshKosh B'gosh","39",,"0","5","5"
"70","Skip Hop","39",,"0","6","5"
"71","Simple Joys","39",,"0","3","5"
"72","Goodthreads","40",,"0","7","5"
"73","IMDb","41",,"0","8","5"
"74","Box Office Mojo","41",,"0","6","6"
"75","Twitch","42",,"0","9","5"
"76","Zappos.com","43",,"0","0","6"
"77","Shopbop","44",,"0","1","6"
"78","Woot","45",,"0","2","6"
"79","comiXology","46",,"0","3","6"
"80","CreateSpace","47",,"0","4","6"
"81","Daily Ritual","40",,"0","5","6"
"82","AbeBooks","35",,"0","7","6"
"83","BookFinder.com","48",,"0","8","6"
"84","Alexa Internet","49",,"0","9","6"
"85","Amazon Game Studios","50",,"0","0","7"
"86","Amazon Robotics","51",,"0","1","7"
"87","Annapurna Labs","52",,"0","2","7"
"88","Blink","53",,"0","3","7"
"89","Book Depository","35",,"0","4","7"
"90","Digital Photography Review","54",,"0","5","7"
"91","PillPack","55",,"0","6","7"
"92","Ring Inc.","53",,"0","7","7"
"93","Amazon Web Services","56",,"0","8","7"
"94","AWS Elemental","57",,"0","9","7"
"95","Amazon Publishing","47",,"0","0","8"
"96","Brilliance Publishing","47",,"0","2","8"
"97","47North","47",,"0","1","8"
"98","Lake Union Publishing","47",,"0","3","8"
"99","Little A","47",,"0","4","8"
"100","Jet City Comics","47",,"0","5","8"
"101","Thomas & Mercer","47",,"0","6","8"
"102","Skyscape","47",,"0","7","8"
"103","Topple Books","47",,"0","8","8"
"104","Grand Harbor Press","47",,"0","9","8"
"105","Montlake","47",,"0","0","9"
"106","Two Lions","47",,"0","1","9"
"107","Waterfall Press","47",,"0","2","9"
"108","Eero","34",,"0","3","9"
"109","Health Navigator","58",,"0","4","9"
"110","Amazon Care","58",,"0","5","9"
"111","Zoox","59",,"0","6","9"
"112","CloudEndure","56",,"0","7","9"
"113","Aquafina","20",,"0","8","9"
"115","Recipe Unlimited Corporation","21",,"0","12","0"
"116","East Side Mario's","60",,"0","10","0"
"117","Harvey's","22",,"0","11","0"
"118","Montana's BBQ & Bar","62",,"0","13","0"
"119","New York Fries","22",,"0","14","0"
"120","St-Hubert BBQ","60",,"0","15","0"
"121","Swiss Chalet","60",,"0","16","0"
"122","The Keg","62",,"0","17","0"
"123","Papa Gino's","24",,"0","18","0"
"124","D'Angelo Grilled Sandwiches","63",,"0","19","0"
"125","Golden Gate Capital","64",,"0","10","1"
"126","Express Oil Change & Tire Engineers","65",,"0","11","1"
"127","Eddie Bauer","44",,"0","13","1"
"128","PSEB Group","44",,"0","12","1"
"129","Pacific Sunwear of California","40",,"0","14","1"
